track_id,Unnamed: 0,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
04JS6OitE9VGsIS3S94Osg,90,0.0,0.029488505039338055,0,0.492,0.145,2,0.6478922738286813,0,0.04373056994818653,0.872,9.68e-06,0.107,0.218,0.370124747300429
5OGpsZeJRZ3t3MZioawcZW,91,0.0,0.029488505039338055,0,0.492,0.145,2,0.6478922738286813,0,0.04373056994818653,0.872,9.68e-06,0.107,0.218,0.370124747300429
3Vnes7v746dYzBn0FJTZ1W,92,0.0,0.05038211519496229,0,0.447,0.555,2,0.8048572961174925,1,0.03616580310880829,0.218,3.46e-06,0.124,0.33,0.4843942606380356
30cYWLpVdBZVLb1cYdmcTT,93,0.0,0.029488505039338055,0,0.492,0.145,2,0.6478922738286813,0,0.04373056994818653,0.872,9.68e-06,0.107,0.218,0.370124747300429
7sUqJ51FGSi3n7x4pYjY3v,94,0.0,0.029488505039338055,0,0.492,0.145,2,0.6478922738286813,0,0.04373056994818653,0.872,9.68e-06,0.107,0.218,0.370124747300429
15BFn2VmEtonsXfNL1lUmy,95,0.0,0.029488505039338055,0,0.492,0.145,2,0.6478922738286813,0,0.04373056994818653,0.872,9.68e-06,0.107,0.218,0.370124747300429
0WOFJR54wyTwLB11jcBDb1,96,0.0,0.029488505039338055,0,0.492,0.145,2,0.6478922738286813,0,0.04373056994818653,0.872,9.68e-06,0.107,0.218,0.370124747300429
1uDCw6LVMOmbZ6zRliNcNX,97,0.0,0.029488505039338055,0,0.492,0.145,2,0.6478922738286813,0,0.04373056994818653,0.872,9.68e-06,0.107,0.218,0.370124747300429
7DYsBLdOqz0z14tYWMt2Tn,98,0.0,0.033913117363066236,0,0.661,0.937,4,0.8207831603869559,0,0.10145077720207255,0.322,1.04e-06,0.19,0.805,0.43369409792416547
7cPuE0M35EajWPRO3nRcH8,99,0.0,0.03800435148296974,0,0.603,0.78,0,0.8138653052919741,1,0.04538860103626943,0.139,0.0,0.164,0.693,0.4129439705471459
0U32q8CZRRo7xCzyiaZw5f,100,0.58,0.05595254802335939,0,0.626,0.655,9,0.7924273532730333,1,0.027253886010362695,0.503,0.0,0.13,0.542,0.37803444932038194
4kQXMVjoZ9yMibLZq5Aqi5,101,0.5,0.026443994466609194,0,0.794,0.38,10,0.7539722175979875,0,0.0494300518134715,0.762,0.0,0.262,0.617,0.4724865637789063
3us8sod4dLbM9FiMiPiEY8,102,0.59,0.0379253030428876,0,0.52,0.279,5,0.717533248247415,0,0.0566839378238342,0.894,0.000105,0.103,0.0951,0.2861545288693851
1PR5pyPiOEEQ02oJYq402x,103,0.57,0.05586204328761317,0,0.545,0.658,1,0.7834748349148215,1,0.04911917098445596,0.496,0.0,0.105,0.683,0.31626892165080617
068qo0w1Ki0cjnFYOUhAm2,104,0.6,0.038000341779487315,0,0.728,0.266,8,0.7807372879788393,1,0.030362694300518134,0.872,1.03e-05,0.114,0.307,0.4733042420656443
2RFt6ZWQbr9mPhsft9u9eX,105,0.61,0.03470493833171513,0,0.66,0.407,7,0.7611490298355622,1,0.05917098445595855,0.236,0.0,0.109,0.257,0.550022188255017
59pUIlXjQupbiYwt40uUTi,106,0.49,0.0668131163129058,0,0.357,0.161,8,0.7188650278378927,1,0.04020725388601037,0.971,1.4e-05,0.358,0.325,0.3428866097989908
